route_id,trip_id,trip_headsign,service_id,direction_id,shape_id,wheelchair_accessible,bikes_allowed
16,27503363,"Le Pont-de-Claix, Gendarmerie",12345-MSILV07_ST21_7_HI2223,1,SEM_16_2,1,2
50,27148861,"Sassenage, La Dent du Loup",12345-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,1,SEM_50_1,1,2
20,26949773,"Seyssinet-Pariset, Seyssinet-Pariset Hôtel de Ville",12345-MSILV04_ST21_4_HI2223-MSILV07_ST21_7_HI2223,0,SEM_20_3,1,2
E,27443981,"Grenoble, Condorcet",12345-MGHLV37_ST0_37_HI2223-MGHLV38_ST0_38_HI2223,1,SEM_E_5,1,2
3,27341774,"Échirolles, Centre du graphisme",1234567-MEHS10_ST5_10_HI2223-MEHS12_ST5_12_HI2223,1,SEM_C3_2,1,2
3,26963458,"Grenoble, Victor Hugo",1234567-MEHD10_ST6_10_HI2223-MEHD11_ST6_11_HI2223,0,SEM_C3_1,1,2
3,26963429,"Grenoble, Victor Hugo",1234567-MEHD10_ST6_10_HI2223-MEHD11_ST6_11_HI2223,0,SEM_C3_1,1,2
23,27137668,"Saint-Martin-d'Hères, Bibliothèques Universitaires",1234567-MFHS09_ST5_9_HI2223,1,SEM_23_2,1,2
65,27675102,"Grenoble, Grand'place",1234567-MFHS10_ST5_10_HI2223,1,,1,2
40,26684987,"Grenoble, Gares",1234567-MFHD06_ST6_6_HI2223,1,SEM_40_3,1,2
2,27334991,"Grenoble, Louise Michel",12345-MEHLV13_ST8_13_HI2223-MEHLV22_ST8_22_HI2223-MEHW13_ST11_13_HI2223-MEHW17_ST11_17_HI2223,1,SEM_C2_1,1,2
5,27315331,"Gières, Universités - Biologie",12345-MSHLVH05_ST8_5_HI2223-MSHLVH12_ST8_12_HI2223-MSHLW12_ST11_12_HI2223,1,SEM_C5_2,1,2
D,27043873,"Saint-Martin-d'Hères, Etienne Grappe",12345-MGHLV17_ST0_17_HI2223-MGHLV33_ST0_33_HI2223,1,SEM_D_2,1,2
5,27315336,"Grenoble, Palais de Justice - Gare",12345-MSHLVH05_ST8_5_HI2223-MSHLVH12_ST8_12_HI2223-MSHLW12_ST11_12_HI2223,0,SEM_C5_1,1,2
2,27334918,"Claix, Pont Rouge",12345-MEHLV13_ST8_13_HI2223-MEHLV22_ST8_22_HI2223-MEHW13_ST11_13_HI2223-MEHW17_ST11_17_HI2223,0,SEM_C2_2,1,2
C,27606678,"Seyssins, Le Prisme",12345-MGHLV35_ST0_35_HI2223,1,SEM_C_2,1,2
1,27466796,"Grenoble, Cité Jean Macé",12345-MSHLVH05_ST8_5_HI2223,1,SEM_C1_5,1,2
19,26948929,"Seyssins, Garlettes",12345-MSILV04_ST21_4_HI2223-MSILV07_ST21_7_HI2223,0,SEM_19_1,1,2
D,27043990,"Saint-Martin-d'Hères, Les Taillées - Universités",1234567-MGHS06_ST5_6_HI2223,0,SEM_D_4,1,2
B,27604358,"Grenoble, Oxford",12345-MGHLV32_ST0_32_HI2223-MGHLV33_ST0_33_HI2223-MGHLV38_ST0_38_HI2223,1,SEM_B_2,1,2
4,26963601,"Eybens, Le Verderet",1234567-MEHD10_ST6_10_HI2223-MEHD11_ST6_11_HI2223,0,SEM_C4_1,1,2
12,26969663,"Saint-Martin-d'Hères, Les Alloves",1234567-MEHS10_ST5_10_HI2223-MEHS12_ST5_12_HI2223,1,SEM_12_1,1,2
A,27593551,"Fontaine, La Poya",12345-MEILV08_ST21_8_HI2223,1,SEM_A_4,1,2
C,27677451,"Seyssins, Le Prisme",12345-MGHLV39_ST0_39_HI2223,1,SEM_C_2,1,2
5,27485779,"Grenoble, Palais de Justice - Gare",12345-MSILV04_ST21_4_HI2223,0,SEM_C5_1,1,2
1,27447593,"Grenoble, Cité Jean Macé",1234567-MSHDF06_ST6_6_HI2223-MSHDF08_ST6_8_HI2223,1,SEM_C1_4,1,2
E,27115199,"Fontanil-Cornillon, Palluel",1234567-MGHS06_ST5_6_HI2223-MGHS08_ST5_8_HI2223,1,SEM_E_1,1,2
6,27188233,"Grenoble, Oxford",12345-MSILV04_ST21_4_HI2223,0,SEM_C6_2,1,2
67,27500241,"Grenoble, Grand'place",12345-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,0,SEM_67_2,1,2
20,26949460,"Seyssinet-Pariset, Seyssinet-Pariset Hôtel de Ville",12345-MSHLVH05_ST8_5_HI2223-MSHLVH12_ST8_12_HI2223-MSHLW12_ST11_12_HI2223,0,SEM_20_1,1,2
50,27149006,"Sassenage, Les Côtes",12345-MFVLV05c_ST21_5_HI2223-MFVLV07c_ST21_7_HI2223,1,SEM_50_1,1,2
2,27335080,"Grenoble, Louise Michel",12345-MEHLV13_ST8_13_HI2223-MEHLV22_ST8_22_HI2223-MEHW13_ST11_13_HI2223-MEHW17_ST11_17_HI2223,1,SEM_C2_1,1,2
13,26980670,"Poisat, Cimetière Intercommunal",12345-MEILV06_ST21_6_HI2223-MEILV07_ST21_7_HI2223-MEILV08_ST21_8_HI2223,0,SEM_13_5,1,2
A,27063452,"Le Pont-de-Claix, L'Etoile",1234567-MEHD10_ST6_10_HI2223-MEHD11_ST6_11_HI2223,0,SEM_A_3,1,2
2,27334668,"Grenoble, Louise Michel",1234567-MEHD10_ST6_10_HI2223-MEHD11_ST6_11_HI2223,1,SEM_C2_1,1,2
6,26676132,"Grenoble, Oxford",1234567-MSHDF06_ST6_6_HI2223-MSHDF08_ST6_8_HI2223,0,SEM_C6_2,1,2
